วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-10,ชัยนาท,0
2024-01-10,นครพนม,0
2024-01-10,ชลบุรี,2
2024-01-10,จันทบุรี,0
2024-01-10,ขอนแก่น,0
2024-01-10,กำแพงเพชร,2
2024-01-10,กาฬสินธุ์,1
2024-01-10,กาญจนบุรี,0
2024-01-10,กรุงเทพมหานคร,6
2024-01-10,กระบี่,0
2024-01-10,ฉะเชิงเทรา,0
2024-01-10,นครราชสีมา,1
2024-01-10,ราชบุรี,1
2024-01-10,ยโสธร,0
2024-01-10,นครศรีธรรมราช,1
2024-01-10,มุกดาหาร,0
2024-01-10,มหาสารคาม,0
2024-01-10,ภูเก็ต,1
2024-01-10,พิษณุโลก,0
2024-01-10,พัทลุง,0
2024-01-10,พะเยา,1
2024-01-10,ปัตตานี,0
2024-01-10,พิจิตร,0
2024-01-10,ประจวบคีรีขันธ์,0
2024-01-10,ปทุมธานี,0
2024-01-10,บุรีรัมย์,0
2024-01-10,บึงกาฬ,1
2024-01-10,น่าน,0
2024-01-10,นนทบุรี,1
2024-01-10,นครสวรรค์,0
2024-01-10,ปราจีนบุรี,1
2024-01-11,สิงห์บุรี,0
2024-01-11,หนองบัวลำภู,1
2024-01-11,หนองคาย,0
2024-01-11,สุโขทัย,1
2024-01-11,สุรินทร์,0
2024-01-11,สุราษฎร์ธานี,1
2024-01-11,สุพรรณบุรี,0
2024-01-11,สระแก้ว,0
2024-01-11,สระบุรี,0
2024-01-11,สมุทรปราการ,3
2024-01-11,สตูล,0
2024-01-11,สงขลา,0
2024-01-11,สกลนคร,2
2024-01-11,ศรีสะเกษ,1
2024-01-11,ลำพูน,2
